文件路径,识别结果,位置,置信度,用时,类型
gg (52).jpg,肿瘤,"[148, 198, 243, 295]",0.8383371829986572,0.09704232215881348,神经胶质瘤
Tr-me_0470.jpg,肿瘤,"[173, 74, 317, 210]",0.9103778004646301,0.0912625789642334,神经胶质瘤
gg (52).jpg,肿瘤,"[148, 198, 243, 295]",0.8383371829986572,0.09704232215881348,神经胶质瘤
Tr-me_0181.jpg,肿瘤,"[372, 279, 512, 409]",0.9001377820968628,0.0916590690612793,神经胶质瘤
Tr-me_0470.jpg,肿瘤,"[173, 74, 317, 210]",0.9103778004646301,0.0912625789642334,神经胶质瘤
gg (52).jpg,肿瘤,"[148, 198, 243, 295]",0.8383371829986572,0.09704232215881348,神经胶质瘤
Te-me_0044.jpg,肿瘤,"[297, 97, 412, 173]",0.8680738210678101,0.0967397689819336,神经胶质瘤
Tr-me_0181.jpg,肿瘤,"[372, 279, 512, 409]",0.9001377820968628,0.0916590690612793,神经胶质瘤
Tr-me_0470.jpg,肿瘤,"[173, 74, 317, 210]",0.9103778004646301,0.0912625789642334,神经胶质瘤
gg (52).jpg,肿瘤,"[148, 198, 243, 295]",0.8383371829986572,0.09704232215881348,神经胶质瘤
image(7).jpg,肿瘤,"[293, 246, 408, 411]",0.8381156921386719,0.10507774353027344,神经胶质瘤
Te-me_0044.jpg,肿瘤,"[297, 97, 412, 173]",0.8680738210678101,0.0967397689819336,神经胶质瘤
Tr-me_0181.jpg,肿瘤,"[372, 279, 512, 409]",0.9001377820968628,0.0916590690612793,神经胶质瘤
Tr-me_0470.jpg,肿瘤,"[173, 74, 317, 210]",0.9103778004646301,0.0912625789642334,神经胶质瘤
gg (52).jpg,肿瘤,"[148, 198, 243, 295]",0.8383371829986572,0.09704232215881348,神经胶质瘤
Te-me_0055.jpg,肿瘤,"[238, 70, 427, 174]",0.8621690273284912,0.11591911315917969,神经胶质瘤
image(7).jpg,肿瘤,"[293, 246, 408, 411]",0.8381156921386719,0.10507774353027344,神经胶质瘤
